Count of เกรด	Column Labels					
Row Labels	กรุงเทพ	นครนายก	ปราจีนบุรี	สระแก้ว	สระบุรี	Grand Total
A	8	7	30	10	12	67
1	2	5	11	3	5	26
2	5	1	12	4	6	28
3		1	3	2	1	7
4	1		4	1		6
B	1		3	5	7	16
1			1	2	3	6
2	1		2	3	2	8
4					2	2
B+	1	2	15	11	6	35
1	1	1	4	6	1	13
2		1	8	5	3	17
3			2		1	3
4			1		1	2
C	1	5	11	6	8	31
1		3	5	2	4	14
2			4	2	4	10
3		2	2	1		5
4	1			1		2
C+	2	6	13	2	5	28
1		3	3	1	1	8
2	2	1	9		2	14
3		1	1		2	4
4		1		1		2
D	1	4	4	12	9	30
1		1	3	3	5	12
2	1	2	1	6	3	13
3		1		2		3
4				1	1	2
D+	3	4	6	6	14	33
1	1	2	1	3	5	12
2	1	1	5	3	5	15
3	1				3	4
4		1			1	2
F	3	2	10	6	5	26
1	1	1	4	5	2	13
2	2		3		3	8
3			1	1		2
4		1	1			2
5			1			1
Grand Total	20	30	92	58	66	266
